W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
L,36,89,0.404,13,42,0.31,19,22,0.864,9,47,24,7,5,14,19,39,97,0.402,12,34,0.353,19,23,0.826,14,58,22,8,3,14,19
L,41,82,0.5,15,40,0.375,19,28,0.679,6,35,27,10,1,15,16,50,84,0.595,16,37,0.432,13,16,0.813,1,36,36,8,8,14,22
L,42,86,0.488,7,31,0.226,16,22,0.727,8,45,24,9,4,17,22,45,93,0.484,10,38,0.263,14,25,0.56,12,48,29,10,6,14,20
W,49,98,0.5,25,46,0.543,20,24,0.833,16,52,23,6,6,18,23,49,93,0.527,16,39,0.41,22,25,0.88,8,38,27,12,5,14,21
L,32,89,0.36,9,42,0.214,14,22,0.636,10,49,20,9,3,18,18,39,84,0.464,18,46,0.391,17,24,0.708,4,50,32,10,8,17,18
L,34,79,0.43,8,35,0.229,21,32,0.656,14,47,19,6,5,17,18,45,86,0.523,18,35,0.514,14,16,0.875,6,38,22,10,1,13,21
L,42,93,0.452,17,45,0.378,14,18,0.778,12,38,28,6,5,13,16,50,94,0.532,15,35,0.429,20,22,0.909,11,47,26,10,6,9,16
L,48,96,0.5,25,53,0.472,12,18,0.667,7,37,36,10,5,16,21,51,95,0.537,19,46,0.413,20,23,0.87,13,53,30,8,5,17,14
L,43,98,0.439,18,51,0.353,12,17,0.706,9,40,25,11,3,8,15,45,85,0.529,15,38,0.395,19,21,0.905,7,49,28,7,4,17,13
L,42,85,0.494,18,38,0.474,27,28,0.964,7,44,30,5,2,13,26,47,92,0.511,18,40,0.45,28,35,0.8,12,47,30,7,4,9,18
L,43,85,0.506,18,42,0.429,18,27,0.667,8,41,33,7,4,15,23,52,91,0.571,7,20,0.35,13,22,0.591,8,41,28,8,3,11,20
W,46,86,0.535,14,37,0.378,16,22,0.727,8,41,30,4,4,15,20,45,93,0.484,11,35,0.314,14,15,0.933,7,35,29,9,5,13,15
L,31,92,0.337,18,63,0.286,15,20,0.75,11,43,25,8,5,15,18,49,90,0.544,7,21,0.333,19,26,0.731,11,56,32,10,8,13,16
L,42,83,0.506,7,20,0.35,16,19,0.842,7,43,25,11,2,22,21,42,88,0.477,10,28,0.357,19,30,0.633,11,41,23,15,3,17,19
W,38,75,0.507,16,37,0.432,19,23,0.826,4,35,29,11,2,17,25,31,78,0.397,10,35,0.286,26,33,0.788,11,41,18,8,2,19,20
L,37,79,0.468,11,37,0.297,12,18,0.667,3,30,23,9,6,21,18,51,92,0.554,29,51,0.569,13,15,0.867,10,45,32,14,2,17,22
W,40,82,0.488,15,39,0.385,24,29,0.828,10,52,25,5,5,22,18,40,102,0.392,16,41,0.39,12,13,0.923,16,47,26,14,6,13,25
L,29,78,0.372,7,33,0.212,18,25,0.72,5,41,20,10,2,14,24,32,78,0.41,12,37,0.324,17,23,0.739,4,49,18,9,3,16,25
W,46,81,0.568,16,34,0.471,10,18,0.556,4,47,34,7,0,14,20,29,79,0.367,13,48,0.271,19,27,0.704,6,38,20,6,4,15,15
L,35,81,0.432,13,36,0.361,22,26,0.846,6,42,26,2,7,8,15,42,99,0.424,12,35,0.343,11,12,0.917,16,53,22,7,5,7,23
W,46,93,0.495,16,43,0.372,20,26,0.769,10,61,32,3,5,16,24,44,99,0.444,15,40,0.375,21,28,0.75,7,39,25,9,2,6,24
L,48,104,0.462,19,56,0.339,19,24,0.792,14,46,27,6,4,18,21,50,102,0.49,19,55,0.345,18,25,0.72,16,52,32,10,6,17,21
L,40,81,0.494,12,34,0.353,16,26,0.615,9,41,28,4,1,20,19,44,82,0.537,17,37,0.459,20,24,0.833,5,35,27,15,3,18,22
L,32,67,0.478,12,29,0.414,24,27,0.889,5,31,25,1,5,22,21,46,91,0.505,18,46,0.391,10,15,0.667,10,39,34,9,8,11,28
W,43,75,0.573,12,30,0.4,15,19,0.789,5,36,23,8,6,18,27,38,82,0.463,13,37,0.351,18,24,0.75,10,32,24,8,3,16,23
W,39,80,0.488,18,40,0.45,15,17,0.882,8,46,29,4,5,18,19,35,88,0.398,16,49,0.327,16,18,0.889,12,41,27,8,3,12,21
L,33,77,0.429,7,31,0.226,8,10,0.8,4,32,19,13,4,19,14,39,84,0.464,17,40,0.425,6,9,0.667,12,45,22,11,3,21,16
L,42,89,0.472,13,46,0.283,27,32,0.844,2,31,29,7,1,8,23,44,83,0.53,19,37,0.514,21,26,0.808,9,47,34,0,6,16,26
L,31,84,0.369,11,43,0.256,12,17,0.706,8,45,20,3,7,12,21,34,85,0.4,11,38,0.289,19,22,0.864,6,49,24,6,5,7,18
L,30,80,0.375,13,45,0.289,9,11,0.818,6,38,24,6,3,16,13,42,92,0.457,14,43,0.326,11,11,1,12,49,29,14,4,13,12
L,40,90,0.444,13,33,0.394,12,15,0.8,8,45,24,5,1,13,18,36,87,0.414,17,42,0.405,20,22,0.909,13,55,22,11,4,12,20
W,36,77,0.468,11,32,0.344,22,26,0.846,9,39,25,5,4,15,14,41,85,0.482,17,45,0.378,5,11,0.455,12,41,22,12,3,17,21
L,43,91,0.473,19,46,0.413,16,25,0.64,10,48,28,8,7,15,26,43,95,0.453,21,41,0.512,22,26,0.846,13,44,31,6,4,11,22
L,36,83,0.434,12,35,0.343,16,22,0.727,9,44,24,11,2,13,21,35,84,0.417,15,37,0.405,18,25,0.72,14,49,20,6,5,17,17
W,43,86,0.5,16,36,0.444,20,23,0.87,9,48,27,9,7,16,20,33,89,0.371,8,33,0.242,21,24,0.875,12,40,19,7,9,17,20
W,40,83,0.482,13,35,0.371,16,20,0.8,6,44,25,6,1,11,15,38,85,0.447,16,42,0.381,11,15,0.733,10,44,23,8,2,12,20
W,26,70,0.371,14,33,0.424,32,39,0.821,6,38,21,5,6,10,14,37,87,0.425,10,28,0.357,12,16,0.75,11,46,22,8,5,14,25
W,34,79,0.43,15,42,0.357,18,20,0.9,8,49,24,6,3,20,21,32,83,0.386,15,50,0.3,15,20,0.75,8,42,24,7,1,13,20
L,35,86,0.407,12,36,0.333,12,17,0.706,8,43,24,11,3,17,21,39,85,0.459,12,46,0.261,22,29,0.759,10,48,26,11,7,15,21
L,46,91,0.505,8,36,0.222,18,22,0.818,9,39,27,7,6,8,21,47,85,0.553,15,32,0.469,16,20,0.8,7,39,31,5,0,12,22
L,44,97,0.454,13,36,0.361,11,12,0.917,7,49,28,8,5,15,22,43,95,0.453,18,52,0.346,16,21,0.762,9,46,32,10,1,16,19
W,49,95,0.516,12,34,0.353,8,10,0.8,8,45,36,8,2,14,15,43,93,0.462,15,41,0.366,9,16,0.563,13,44,29,7,3,15,18
W,36,85,0.424,8,28,0.286,16,23,0.696,10,49,24,8,3,14,20,33,84,0.393,13,45,0.289,15,17,0.882,6,43,25,5,6,14,17
W,36,81,0.444,15,40,0.375,21,25,0.84,10,45,30,7,6,13,20,32,74,0.432,14,39,0.359,16,19,0.842,5,38,20,6,1,17,24
W,37,80,0.463,17,38,0.447,25,29,0.862,11,42,31,6,4,11,21,37,74,0.5,20,44,0.455,14,17,0.824,3,32,30,5,3,14,25
W,44,86,0.512,14,31,0.452,22,25,0.88,11,50,24,5,1,15,21,40,94,0.426,15,46,0.326,21,23,0.913,9,36,24,9,3,9,21
W,39,86,0.453,11,37,0.297,20,22,0.909,12,45,27,8,6,14,20,36,87,0.414,8,35,0.229,19,22,0.864,16,49,22,12,6,16,20
L,28,75,0.373,9,33,0.273,15,22,0.682,5,26,15,16,4,7,13,34,71,0.479,13,36,0.361,13,15,0.867,11,47,26,5,2,23,18
W,36,73,0.493,10,30,0.333,21,25,0.84,5,41,27,6,3,10,20,33,84,0.393,11,43,0.256,16,20,0.8,15,44,28,5,3,12,21
W,41,91,0.451,16,49,0.327,13,22,0.591,9,44,27,8,4,10,16,39,96,0.406,12,34,0.353,13,15,0.867,16,57,22,6,4,14,19
W,37,80,0.463,12,35,0.343,15,20,0.75,1,41,26,11,6,9,13,34,92,0.37,15,38,0.395,7,7,1,12,50,25,5,3,16,16
W,37,89,0.416,14,50,0.28,14,15,0.933,10,43,28,15,6,11,17,33,75,0.44,16,40,0.4,15,21,0.714,8,45,25,4,1,23,18
W,42,85,0.494,10,27,0.37,19,21,0.905,16,48,30,11,5,13,18,39,86,0.453,10,35,0.286,10,14,0.714,15,42,23,7,6,14,19
L,32,89,0.36,8,34,0.235,13,18,0.722,8,51,17,4,2,10,21,30,85,0.353,10,42,0.238,19,25,0.76,8,50,22,5,4,9,17
L,41,92,0.446,9,34,0.265,19,20,0.95,10,36,22,10,4,11,17,52,89,0.584,20,36,0.556,13,19,0.684,9,47,38,7,9,16,17
L,39,97,0.402,9,37,0.243,19,23,0.826,13,51,27,7,7,14,19,38,98,0.388,15,45,0.333,18,20,0.9,13,50,27,8,10,14,22
L,36,86,0.419,13,36,0.361,15,17,0.882,17,50,23,3,4,13,13,45,91,0.495,12,37,0.324,8,9,0.889,8,39,29,5,6,6,18
L,47,84,0.56,16,34,0.471,12,13,0.923,5,39,34,3,7,11,18,44,92,0.478,20,46,0.435,17,19,0.895,10,40,24,3,7,10,14
L,40,87,0.46,15,43,0.349,10,20,0.5,9,39,28,9,3,10,17,39,79,0.494,18,43,0.419,14,19,0.737,6,42,30,6,7,16,16
W,37,86,0.43,10,34,0.294,14,17,0.824,12,47,22,7,5,12,18,33,80,0.413,10,36,0.278,12,20,0.6,6,41,15,4,6,13,19
W,32,78,0.41,10,32,0.313,18,28,0.643,8,42,22,5,4,11,14,34,85,0.4,11,37,0.297,8,12,0.667,11,48,23,7,4,13,23
W,39,82,0.476,13,39,0.333,25,30,0.833,5,37,30,10,6,11,22,36,82,0.439,15,37,0.405,22,25,0.88,12,46,23,7,3,20,26
W,44,82,0.537,15,38,0.395,12,16,0.75,4,37,35,6,3,11,20,35,74,0.473,10,31,0.323,21,25,0.84,5,35,25,7,4,15,15
L,44,82,0.537,13,33,0.394,11,18,0.611,7,35,34,9,4,12,16,46,84,0.548,17,41,0.415,15,20,0.75,9,42,30,11,2,13,13
W,34,71,0.479,10,25,0.4,32,40,0.8,9,38,22,12,8,20,25,35,79,0.443,12,35,0.343,22,25,0.88,10,40,26,9,3,22,24
W,41,83,0.494,12,29,0.414,13,20,0.65,6,30,21,12,4,7,18,37,77,0.481,11,35,0.314,13,19,0.684,8,41,21,5,5,17,16
L,31,82,0.378,9,44,0.205,15,19,0.789,8,36,24,13,2,16,20,38,82,0.463,13,42,0.31,17,18,0.944,9,48,28,11,2,19,18
L,39,79,0.494,13,32,0.406,15,18,0.833,4,30,29,7,8,8,13,48,89,0.539,17,36,0.472,10,13,0.769,11,43,32,5,7,10,19
L,39,80,0.488,14,34,0.412,19,26,0.731,7,33,33,11,5,14,28,42,81,0.519,15,36,0.417,20,29,0.69,10,45,30,8,2,17,22
W,38,87,0.437,16,39,0.41,17,21,0.81,16,53,28,9,1,16,13,39,82,0.476,17,43,0.395,12,18,0.667,8,38,26,10,6,11,17
W,45,93,0.484,19,48,0.396,4,7,0.571,11,52,31,7,5,13,19,33,85,0.388,9,38,0.237,16,17,0.941,6,41,20,8,3,13,7
W,39,83,0.47,13,31,0.419,16,20,0.8,9,44,28,8,1,7,20,31,77,0.403,10,35,0.286,15,20,0.75,7,38,21,1,7,10,15
L,38,79,0.481,13,37,0.351,14,16,0.875,6,30,24,10,5,13,18,43,80,0.538,15,35,0.429,17,19,0.895,8,38,24,12,2,14,17
W,36,80,0.45,14,37,0.378,20,24,0.833,6,37,22,11,2,10,12,38,79,0.481,13,38,0.342,12,13,0.923,6,42,28,7,2,17,20
L,36,84,0.429,7,36,0.194,23,25,0.92,6,34,18,13,4,5,19,41,77,0.532,11,29,0.379,17,22,0.773,9,51,33,3,4,18,21
W,43,85,0.506,9,25,0.36,21,24,0.875,10,48,26,4,1,12,23,41,88,0.466,10,32,0.313,19,24,0.792,7,40,26,6,3,9,20
W,47,87,0.54,18,36,0.5,12,15,0.8,10,37,30,12,1,8,16,37,74,0.5,20,40,0.5,13,17,0.765,9,39,30,3,4,18,17
W,45,88,0.511,11,38,0.289,20,27,0.741,11,42,30,10,6,11,22,40,81,0.494,14,33,0.424,17,22,0.773,8,39,30,9,1,14,20
L,39,84,0.464,18,41,0.439,17,21,0.81,8,39,30,9,2,12,17,46,87,0.529,22,48,0.458,13,18,0.722,12,44,26,6,4,13,17
W,44,87,0.506,13,32,0.406,20,27,0.741,8,37,27,9,2,14,22,41,85,0.482,10,37,0.27,20,30,0.667,9,41,27,7,4,16,24
W,47,82,0.573,16,35,0.457,20,22,0.909,3,35,30,8,2,11,20,45,83,0.542,14,38,0.368,20,25,0.8,6,34,29,7,3,14,22
W,48,81,0.593,16,30,0.533,17,22,0.773,6,43,25,7,4,14,21,46,88,0.523,18,37,0.486,11,17,0.647,3,32,31,8,5,11,21
W,41,81,0.506,13,35,0.371,11,11,1,15,47,26,5,6,19,15,36,78,0.462,7,25,0.28,15,20,0.75,8,30,20,8,1,12,18
L,40,96,0.417,22,49,0.449,6,8,0.75,9,38,25,8,3,11,18,46,86,0.535,13,35,0.371,17,24,0.708,5,48,29,4,3,11,15
W,47,84,0.56,13,34,0.382,13,20,0.65,6,39,32,11,5,10,19,40,86,0.465,11,35,0.314,16,22,0.727,7,33,26,4,4,16,21
L,39,85,0.459,12,28,0.429,17,23,0.739,5,40,25,8,8,16,27,46,94,0.489,8,34,0.235,21,29,0.724,10,50,28,6,9,13,24
L,32,83,0.386,8,29,0.276,17,23,0.739,13,43,19,6,4,16,23,41,88,0.466,11,31,0.355,16,22,0.727,12,47,20,9,6,12,19
W,46,85,0.541,16,27,0.593,22,27,0.815,8,46,27,5,4,15,23,41,95,0.432,7,38,0.184,21,29,0.724,17,44,24,7,5,11,21
W,34,79,0.43,14,25,0.56,13,21,0.619,14,55,23,9,6,25,21,32,88,0.364,7,32,0.219,15,22,0.682,14,43,22,13,10,13,17
L,32,88,0.364,3,36,0.083,16,20,0.8,9,48,21,6,3,15,21,34,83,0.41,17,52,0.327,15,21,0.714,9,53,21,7,6,16,22
W,42,83,0.506,12,27,0.444,10,13,0.769,10,51,23,4,3,15,16,34,84,0.405,19,50,0.38,15,18,0.833,5,32,22,6,4,8,21
W,43,85,0.506,7,21,0.333,20,25,0.8,11,45,26,9,6,15,21,40,87,0.46,10,31,0.323,18,23,0.783,10,40,24,4,2,12,21
W,45,87,0.517,8,22,0.364,14,19,0.737,11,48,22,10,5,12,17,40,91,0.44,14,44,0.318,6,11,0.545,10,42,20,5,9,14,15
L,34,96,0.354,9,27,0.333,12,20,0.6,11,49,19,8,7,4,19,38,87,0.437,11,34,0.324,14,21,0.667,11,62,16,2,7,11,19
L,32,74,0.432,6,21,0.286,19,25,0.76,8,36,19,4,1,16,15,45,84,0.536,15,35,0.429,9,12,0.75,8,43,23,11,4,12,25
L,34,87,0.391,9,37,0.243,11,17,0.647,17,49,20,6,6,16,23,38,78,0.487,13,32,0.406,20,23,0.87,5,37,28,8,8,10,13
L,44,92,0.478,11,28,0.393,10,12,0.833,12,43,22,4,3,9,16,44,91,0.484,16,40,0.4,12,17,0.706,12,46,29,3,5,6,12
L,40,82,0.488,9,25,0.36,14,16,0.875,7,39,20,9,10,12,21,36,79,0.456,9,27,0.333,25,34,0.735,14,48,26,9,6,15,18
W,38,80,0.475,12,31,0.387,17,21,0.81,10,53,22,11,7,16,28,25,84,0.298,7,46,0.152,18,29,0.621,14,43,15,10,2,17,22
W,31,87,0.356,5,27,0.185,24,34,0.706,13,53,15,6,4,6,16,29,86,0.337,12,38,0.316,14,16,0.875,10,51,18,4,9,11,24
W,38,82,0.463,11,24,0.458,32,41,0.78,11,55,24,5,9,11,29,33,86,0.384,9,38,0.237,29,39,0.744,9,46,27,5,3,10,26
L,36,94,0.383,5,22,0.227,17,25,0.68,16,57,19,2,6,11,21,38,91,0.418,12,34,0.353,15,21,0.714,12,55,21,6,14,6,25
L,39,86,0.453,12,29,0.414,23,25,0.92,13,47,20,9,0,12,20,39,83,0.47,17,46,0.37,21,23,0.913,9,39,19,5,8,11,16
L,36,83,0.434,10,27,0.37,12,17,0.706,9,44,15,6,4,11,21,37,92,0.402,15,48,0.313,19,22,0.864,17,53,24,6,5,6,14
W,39,80,0.488,10,27,0.37,14,16,0.875,8,41,20,8,6,13,24,29,84,0.345,8,26,0.308,15,18,0.833,14,43,15,8,5,14,20
L,41,85,0.482,10,27,0.37,23,28,0.821,10,36,21,5,5,7,20,44,81,0.543,17,38,0.447,24,28,0.857,7,38,26,2,4,7,14
L,37,87,0.425,6,29,0.207,22,26,0.846,11,45,21,6,6,11,19,42,88,0.477,11,34,0.324,15,20,0.75,7,40,30,3,1,12,19
W,43,89,0.483,11,22,0.5,10,15,0.667,11,47,19,5,4,17,18,43,88,0.489,6,36,0.167,11,16,0.688,6,38,25,11,3,9,14
W,44,88,0.5,13,30,0.433,9,13,0.692,8,51,20,5,5,14,19,37,89,0.416,17,47,0.362,8,16,0.5,11,41,15,7,7,11,15
L,38,85,0.447,16,42,0.381,11,15,0.733,10,44,23,8,2,12,20,40,83,0.482,13,35,0.371,16,20,0.8,6,44,25,6,1,11,15
L,37,87,0.425,10,28,0.357,12,16,0.75,11,46,22,8,5,14,25,26,70,0.371,14,33,0.424,32,39,0.821,6,38,21,5,6,10,14
W,44,98,0.449,6,24,0.25,15,22,0.682,15,65,22,11,4,11,22,34,89,0.382,9,34,0.265,14,20,0.7,9,46,20,5,5,14,18
W,45,86,0.523,12,28,0.429,19,23,0.826,4,44,21,4,4,7,21,33,88,0.375,8,43,0.186,25,30,0.833,12,46,17,5,5,9,17
W,42,83,0.506,17,34,0.5,22,27,0.815,10,42,22,5,6,8,22,36,85,0.424,11,33,0.333,29,32,0.906,11,42,17,5,6,11,19
L,33,87,0.379,7,27,0.259,16,19,0.842,10,46,16,7,5,16,14,42,92,0.457,16,34,0.471,7,10,0.7,10,50,27,10,7,12,15
W,33,78,0.423,6,18,0.333,31,38,0.816,11,48,17,4,4,13,25,33,82,0.402,16,35,0.457,17,21,0.81,7,43,24,6,3,15,24
L,38,97,0.392,11,29,0.379,19,22,0.864,18,56,22,4,5,13,23,40,89,0.449,13,38,0.342,21,24,0.875,7,41,30,9,8,10,18
W,51,87,0.586,19,36,0.528,19,21,0.905,9,43,24,8,2,16,23,42,85,0.494,12,35,0.343,25,33,0.758,8,34,25,12,0,16,22
W,40,81,0.494,12,24,0.5,18,22,0.818,4,38,26,12,2,18,22,38,84,0.452,11,28,0.393,20,25,0.8,6,35,27,5,7,16,17
W,44,86,0.512,13,26,0.5,8,10,0.8,6,41,23,9,7,11,23,28,72,0.389,9,32,0.281,25,31,0.806,7,40,16,8,4,15,15
L,33,81,0.407,15,36,0.417,12,15,0.8,9,41,18,2,5,16,16,43,89,0.483,18,42,0.429,15,21,0.714,9,45,31,12,4,8,14
W,45,83,0.542,9,27,0.333,15,19,0.789,12,47,25,10,4,13,13,39,80,0.488,14,36,0.389,12,15,0.8,6,29,23,6,2,12,13
L,37,88,0.42,13,37,0.351,14,21,0.667,10,38,19,3,5,14,19,50,87,0.575,18,38,0.474,16,17,0.941,5,43,29,9,9,12,18
W,44,90,0.489,14,35,0.4,17,22,0.773,11,44,23,12,2,10,20,37,76,0.487,8,32,0.25,15,21,0.714,5,40,22,3,4,18,18
L,37,92,0.402,15,42,0.357,23,27,0.852,13,40,16,9,2,8,22,44,76,0.579,12,29,0.414,17,22,0.773,3,41,29,3,6,15,19
L,37,84,0.44,8,24,0.333,14,22,0.636,9,47,19,7,5,12,23,37,90,0.411,11,32,0.344,14,19,0.737,12,50,19,8,10,11,22
W,37,86,0.43,14,34,0.412,6,11,0.545,5,43,24,6,4,7,14,35,82,0.427,10,34,0.294,13,16,0.813,8,49,21,6,6,10,13
L,38,88,0.432,11,24,0.458,13,23,0.565,13,44,16,13,2,17,19,38,82,0.463,11,25,0.44,14,23,0.609,8,44,19,12,9,19,18
W,47,92,0.511,16,30,0.533,21,24,0.875,12,42,23,6,8,10,28,38,79,0.481,9,23,0.391,28,35,0.8,7,38,25,5,5,16,23
W,34,93,0.366,7,28,0.25,31,42,0.738,18,55,14,12,4,13,28,37,80,0.463,8,26,0.308,20,33,0.606,8,46,26,8,9,17,32
W,40,93,0.43,16,44,0.364,6,8,0.75,12,44,28,9,11,14,19,36,87,0.414,14,36,0.389,10,16,0.625,15,48,21,11,7,16,11
L,33,80,0.413,10,36,0.278,12,20,0.6,6,41,15,4,6,13,19,37,86,0.43,10,34,0.294,14,17,0.824,12,47,22,7,5,12,18
L,39,82,0.476,11,23,0.478,12,17,0.706,7,41,20,7,6,16,18,36,87,0.414,14,40,0.35,16,19,0.842,9,40,25,9,8,12,14
L,32,89,0.36,12,38,0.316,10,10,1,9,43,18,7,3,11,17,41,88,0.466,12,37,0.324,5,10,0.5,4,47,19,6,2,10,12
W,43,79,0.544,19,39,0.487,20,27,0.741,7,44,31,12,11,7,18,29,82,0.354,9,28,0.321,14,20,0.7,12,43,20,4,4,14,20
L,40,86,0.465,14,29,0.483,18,22,0.818,5,41,24,7,4,12,25,42,92,0.457,10,32,0.313,20,26,0.769,11,45,27,6,6,10,14
L,35,84,0.417,16,33,0.485,13,16,0.813,5,39,22,7,4,14,21,36,86,0.419,15,40,0.375,14,20,0.7,16,53,22,6,7,17,14
W,45,96,0.469,14,32,0.438,29,33,0.879,11,48,24,7,7,12,25,47,94,0.5,14,30,0.467,21,34,0.618,10,43,33,7,6,14,27
W,35,88,0.398,9,35,0.257,23,27,0.852,11,46,19,9,4,13,19,33,79,0.418,11,34,0.324,19,23,0.826,5,40,19,8,7,15,23
W,42,89,0.472,5,27,0.185,22,27,0.815,15,47,18,14,9,15,20,35,80,0.438,12,36,0.333,14,18,0.778,4,33,22,5,7,24,21
W,44,97,0.454,17,33,0.515,11,13,0.846,11,48,19,6,5,6,17,40,88,0.455,6,28,0.214,20,24,0.833,9,49,25,3,5,9,12
W,44,86,0.512,14,28,0.5,15,21,0.714,9,45,22,4,5,9,20,40,91,0.44,15,45,0.333,14,19,0.737,10,41,30,6,7,9,17
W,45,95,0.474,11,29,0.379,21,24,0.875,13,49,27,9,6,13,26,41,101,0.406,6,27,0.222,24,30,0.8,20,52,25,6,4,12,16
W,40,83,0.482,18,45,0.4,11,12,0.917,11,39,22,5,6,9,13,39,86,0.453,16,39,0.41,3,8,0.375,11,39,26,6,3,12,10
W,49,91,0.538,19,35,0.543,20,25,0.8,8,49,29,8,3,14,19,49,102,0.48,12,34,0.353,17,24,0.708,12,41,28,10,3,10,18
W,42,75,0.56,16,31,0.516,20,24,0.833,5,44,20,4,4,13,17,36,83,0.434,17,44,0.386,14,19,0.737,5,33,31,6,3,7,19
L,45,87,0.517,12,29,0.414,8,10,0.8,6,35,24,6,1,10,19,45,83,0.542,14,34,0.412,14,17,0.824,5,37,23,5,6,8,13
W,42,91,0.462,12,27,0.444,17,19,0.895,9,41,27,10,9,4,16,39,85,0.459,10,29,0.345,6,10,0.6,7,43,29,2,4,14,12
W,45,86,0.523,18,35,0.514,14,16,0.875,6,38,22,10,1,13,21,34,79,0.43,8,35,0.229,21,32,0.656,14,47,19,6,5,17,18
W,45,89,0.506,14,27,0.519,14,18,0.778,8,45,19,6,8,8,21,34,86,0.395,16,41,0.39,20,24,0.833,13,46,26,7,4,12,14
L,33,86,0.384,13,35,0.371,18,27,0.667,6,42,18,6,10,15,24,37,97,0.381,12,39,0.308,27,33,0.818,17,63,23,13,7,13,24
L,38,84,0.452,11,32,0.344,18,23,0.783,6,41,24,2,4,13,25,43,92,0.467,18,41,0.439,24,25,0.96,7,45,26,5,3,5,17
W,42,90,0.467,13,32,0.406,9,9,1,8,45,25,7,5,10,17,37,86,0.43,12,35,0.343,14,16,0.875,7,43,24,5,1,13,12
L,34,87,0.391,10,29,0.345,21,23,0.913,5,41,19,8,3,9,21,37,89,0.416,12,28,0.429,15,19,0.789,14,53,31,5,5,18,17
W,35,86,0.407,14,35,0.4,18,18,1,10,48,23,7,8,10,19,38,91,0.418,6,21,0.286,16,19,0.842,9,47,22,4,6,9,16
W,45,88,0.511,16,37,0.432,12,15,0.8,7,50,29,3,7,9,20,39,102,0.382,13,49,0.265,18,24,0.75,15,51,28,5,2,8,18
W,34,79,0.43,13,27,0.481,15,19,0.789,4,41,16,7,6,10,17,35,86,0.407,11,41,0.268,11,15,0.733,9,46,19,4,6,12,19
L,45,93,0.484,8,35,0.229,3,8,0.375,7,44,29,5,2,12,20,38,88,0.432,11,41,0.268,24,28,0.857,12,48,25,6,5,11,16
L,40,98,0.408,16,45,0.356,23,32,0.719,10,57,24,9,5,22,20,48,99,0.485,13,30,0.433,19,30,0.633,7,51,29,13,4,18,24
L,43,98,0.439,13,41,0.317,21,24,0.875,17,48,24,7,4,8,25,40,82,0.488,20,42,0.476,28,32,0.875,8,45,30,5,7,13,22
L,35,92,0.38,13,35,0.371,23,29,0.793,16,45,21,8,6,15,26,38,76,0.5,14,33,0.424,26,36,0.722,4,40,21,8,8,19,28
W,36,88,0.409,11,34,0.324,13,20,0.65,12,48,18,9,2,19,16,39,83,0.47,8,31,0.258,7,14,0.5,7,44,20,12,11,19,20
L,41,86,0.477,16,36,0.444,22,25,0.88,8,33,29,8,7,9,16,49,87,0.563,15,33,0.455,9,13,0.692,12,41,35,4,5,17,22
L,43,98,0.439,17,40,0.425,12,12,1,6,31,27,9,5,8,17,49,85,0.576,14,34,0.412,13,16,0.813,7,49,32,6,4,19,18
L,38,97,0.392,13,41,0.317,26,30,0.867,15,47,20,6,3,9,20,49,90,0.544,19,43,0.442,13,21,0.619,9,47,35,5,4,14,22
W,37,90,0.411,11,34,0.324,25,29,0.862,9,46,23,13,4,14,14,41,91,0.451,17,52,0.327,6,13,0.462,9,50,24,10,7,21,25
L,29,87,0.333,10,42,0.238,18,21,0.857,11,39,21,10,7,7,23,35,82,0.427,11,35,0.314,15,22,0.682,16,63,17,3,5,13,17
L,36,92,0.391,14,35,0.4,15,22,0.682,13,47,25,8,3,16,19,41,85,0.482,19,43,0.442,9,14,0.643,10,48,31,10,9,14,20
W,46,91,0.505,18,46,0.391,10,15,0.667,10,39,34,9,8,11,28,32,67,0.478,12,29,0.414,24,27,0.889,5,31,25,1,5,22,21
L,38,82,0.463,13,37,0.351,18,24,0.75,10,32,24,8,3,16,23,43,75,0.573,12,30,0.4,15,19,0.789,5,36,23,8,6,18,27
L,44,97,0.454,10,31,0.323,17,19,0.895,7,42,22,9,3,13,28,44,100,0.44,9,23,0.391,26,38,0.684,23,63,21,6,10,13,15
L,31,82,0.378,15,32,0.469,25,37,0.676,14,55,17,5,8,19,21,37,95,0.389,14,41,0.341,15,20,0.75,14,51,24,7,11,14,28
L,37,86,0.43,14,33,0.424,22,30,0.733,8,43,25,9,8,15,28,38,83,0.458,8,23,0.348,30,38,0.789,12,49,14,10,7,15,24
W,35,70,0.5,17,38,0.447,32,38,0.842,11,47,22,6,6,18,20,40,94,0.426,9,28,0.321,15,20,0.75,13,36,15,12,3,9,26
L,37,82,0.451,11,27,0.407,22,29,0.759,13,40,29,7,5,22,21,47,87,0.54,11,21,0.524,17,23,0.739,8,37,24,14,7,16,22
W,40,87,0.46,14,36,0.389,13,13,1,5,38,27,4,2,8,18,36,88,0.409,12,28,0.429,8,12,0.667,12,44,25,2,3,11,16
L,29,77,0.377,9,36,0.25,24,32,0.75,7,38,17,7,4,14,14,47,89,0.528,17,36,0.472,7,10,0.7,8,47,34,6,5,14,23
