W/L,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,O-FG,O-FGA,O-FG%,O-3P,O-3PA,O-3P%,O-FT,O-FTA,O-FT%,O-ORB,O-TRB,O-AST,O-STL,O-BLK,O-TOV,O-PF
W,44,92,0.478,20,46,0.435,17,19,0.895,10,40,24,3,7,10,14,47,84,0.56,16,34,0.471,12,13,0.923,5,39,34,3,7,11,18
W,40,85,0.471,18,40,0.45,14,21,0.667,10,46,21,7,9,16,18,42,95,0.442,12,27,0.444,9,17,0.529,11,40,29,7,5,12,18
W,46,97,0.474,10,34,0.294,20,24,0.833,13,47,24,7,11,8,25,39,87,0.448,14,42,0.333,25,33,0.758,12,45,17,3,6,12,20
W,42,82,0.512,16,30,0.533,24,26,0.923,6,43,27,11,7,13,20,40,86,0.465,9,27,0.333,12,17,0.706,5,36,29,7,7,16,26
L,36,99,0.364,21,54,0.389,16,22,0.727,13,45,19,11,3,13,18,49,90,0.544,12,39,0.308,17,19,0.895,4,50,25,7,5,15,18
W,51,104,0.49,20,46,0.435,11,14,0.786,15,56,25,13,3,9,18,30,85,0.353,8,34,0.235,17,24,0.708,12,46,17,4,6,22,21
L,37,92,0.402,11,36,0.306,31,37,0.838,14,48,18,4,5,7,22,46,89,0.517,16,41,0.39,25,30,0.833,8,48,24,5,5,7,24
L,38,96,0.396,13,48,0.271,14,18,0.778,9,41,18,3,5,6,21,43,95,0.453,12,42,0.286,24,27,0.889,14,58,21,4,3,7,15
W,43,90,0.478,13,29,0.448,19,24,0.792,14,49,18,5,8,15,20,37,83,0.446,9,26,0.346,20,28,0.714,9,38,25,9,6,11,23
L,37,77,0.481,11,35,0.314,13,19,0.684,8,41,21,5,5,17,16,41,83,0.494,12,29,0.414,13,20,0.65,6,30,21,12,4,7,18
L,43,90,0.478,17,43,0.395,12,17,0.706,8,46,31,6,5,14,22,42,90,0.467,15,35,0.429,17,24,0.708,9,46,30,5,4,9,19
W,41,89,0.461,11,29,0.379,14,16,0.875,9,38,23,9,6,11,12,45,95,0.474,7,23,0.304,9,10,0.9,14,49,30,7,9,14,14
L,36,91,0.396,10,36,0.278,19,28,0.679,13,47,18,7,3,8,17,39,83,0.47,18,43,0.419,13,17,0.765,7,46,26,6,8,14,25
L,42,94,0.447,14,44,0.318,14,19,0.737,13,42,22,7,4,6,16,45,90,0.5,11,38,0.289,12,15,0.8,10,45,24,3,3,10,15
L,40,87,0.46,12,36,0.333,13,15,0.867,9,41,21,7,2,11,16,39,88,0.443,13,39,0.333,15,17,0.882,16,46,24,7,5,13,16
L,46,96,0.479,14,35,0.4,22,27,0.815,14,50,28,6,3,11,20,52,98,0.531,9,30,0.3,17,22,0.773,8,39,33,7,5,8,21
